DVM,RA_TRANS_TYPE_NAME,
EBS_VALUE,FUSION_VALUE
1278Engineering R,1278Engineering R
Addition Invoice,Addition Invoice
IT FTVEND,IT FTVEND
Intercompany,Intercompany
Inv-Hdwre-East,Inv-Hdwre-East
Invoice (EU),Invoice (EU)
Invoice,Invoice
Invoice-Consulting,Invoice-Consulting
Invoice-Services,Invoice-Services
LG_Invoice,LG_Invoice
Operating Rec Inv,Operating Rec Inv
PA Internal Invoices,PA Internal Invoices
PA Invoice,PA Invoice
Projects Invoice,Projects Invoice
SE Standardfaktura,SE Standardfaktura
WF_Credit Memo,WF_Credit Memo
WF_Invoice,WF_Invoice
