DVM,SMBC_AR_SALESREPS,
EBS_NAME,EBS_VALUE,FUSION_NAME,FUSION_VALUE
No Sales Credit,-3,No Sales Credit,
Corporate Land & Property (CL),100,Corporate Land & Property (CL),CL 179
Allotments Section (AL),109,Environmental Services,AL 109
Building control (BC),110,Building Control,BC 110
Benefits Section (BF),111,Income and Awards,PP 155
Small Business Units (BU),112,Strategic Land Team,CL 179
Sundry Income Section (C1),113,Income and Awards,C2 114
Sundry Income Section (C2),114,Income and Awards,C2 114
Sewer Blockages (CB),118,Highway Services,CB 118
Chapelfields Centre (CF),119,Funding & Commercialisation,CF 119
Accountancy-Corporate Control (CO),121,Accountancy-Corporate Control,CO 121
Cesspools (CP),122,Highway Services,CP 122
Civic Suite (CS),123,Facilities & Asset Man,CS 123
School Asset Support Team (DD),124,Strategic Land Team,DD 124
Solihull Catering Services (EC),126,Catering,EC 126
Education & Childrens Services Directorate (ED),127,"Planning, Performing and Commissioning",ED 127
Licensing PP (EH),128,Licensing,EH 128
Accountancy-Schools Team (FE),132,Schools Finance Team,FE 132
Accountancy Section (FH),133,Accountancy Section,FH 133
Accountancy Cost Centre Mgmt Team (FM),135,Accountancy Cost Centre Mgmt Team,FM 135
Ground Rent & Service Charges (FS),137,Strategic Land Team,CL 179
Accountancy-Corporate Compliance (FW),139,Corporate Finance,FW 139
Ground Rent (GR),140,Strategic Land Team,CL 179
Arrears Section (H3),142,Strategic Land Team,CL 179
"Transport, Highways & The Environment (HW)",144,Parking Services,HW 144
Shop Rent & Insurance (IN),145,Strategic Land Team,CL 179
School Improvement (IS),146,Learning & Skills Management,IS 146
Lyndon Music Centre (LM),149,Solihull Music Service (Lyndon),LM 149
Income & Awards (PP),155,Income and Awards,PP 155
Property Services Section (PS),156,PSD Landlord Admin,PS 156
Accountancy Section (PY),157,Strategic Land Team,CL 179
Residential Accommodation (RA),158,Billing and Payments,JZ 616
School Services (S),161,School Services (S),S 161
Shop Rent & Insurance (SR),164,Strategic Land Team,CL 179
Sans Souci Training Centre (ST),166,PSD Landlord Admin,ST 166
Chief Executives Department (AA),169,Funding & Commercialisation,AA 169
Arts Complex (TH),170,Arts Complex,TH 170
Highways (VA),174,Highway Services,VA 174
Corporate Land & Property (CL),179,Strategic Land Team,CL 179
Strategic Services (CE),183,"Children, Young People and Families Division",CE 183
Solihull Community Housing (HS),187,Stronger Communities (Housing & Communities),HS 187
Education & Childrens - Social Service (SL),191,"Children, Young People and Families",SL 191
Environment Services (TS),193,Environmental Services,TS 193
Street Works (HM),194,Highway Services,HM 194
Solihull Connect Customer Services (SC),199,Solihull Connect Contact Centre,SC 199
Audit Services (IA),202,Solihull Audit Services,IA 202
Accountancy-Resources Team (FR),203,Accountancy - Resources Team,FR 203
Accountancy-E & I Finance (PF),204,Accountancy-E&I Finance,PF 204
Accountancy-OPPS Team (FO),205,Looked After Children & Adoption,LL 228
Accountancy-Childrens Team (FY),206,Accountancy-Childrens Team,FY 206
Accountancy ASC Team (AF),207,Billing and Payments,AF 207
Learning and Development Team (O3),211,HR Management,O3 211
Public Health (PH),213,Solihull Active Team,PH 213
Neighbourhood Services (NS),214,Safer Communities (Regulation & Enforcement),NS 214
Communications (CD),215,Communications,CD 215
Green Acres Day Centre (GA),217,"Mental Health, Autism and Provider Services",GA 217
School Transport (TO),219,"Planning, Performing and Commissioning",TO 219
Aspire Through Care Team (AT),221,Child Asylum & 16+,AT 221
Fostering Team (FQ),222,"Children, Young People and Families",FQ 222
Business Support - Central Library (BS),224,Library and Information Services,BS 224
Facilities & Assets (FA),226,Facilities & Asset Man,FA 226
Adoption Agency (LL),228,Looked After Children & Adoption,LL228
Youth Offending Services (YO),232,Youth Offending Services (YO),YO 232
Early Help (EA),233,Family Support Service Business Unit,EA 233
Mayoral Services (MS),236,Democratic Services,MS 236
Robin Hood Memorials (RM),237,Cemetery and Crematorium Operational,RH 272
ACS Management Accounts Team (AI),238,Adult Care and Support,AI 238
Solihull Community Equipment & Wheelchair Services (WC),239,ASC ASM Management,WC 239
