SIMPLE_OR_COMPLEX|APPLICATION_SUITE|APPLICATION|SOURCE_VALUE|Input Value 2|Input Value 3|Input Value 4|INPUT_CODE_5      |INPUT_CODE_6      |CATEGORY_CODE|TARGET_VALUE|OUTPUT_CODE_1_DESC|OUTPUT_CODE_2     |OUTPUT_CODE_2_DESC|OUTPUT_CODE_3     |OUTPUT_CODE_3_DESC|OUTPUT_CODE_4     |OUTPUT_CODE_4_DESC|OUTPUT_CODE_5     |OUTPUT_CODE_5_DESC|OUTPUT_CODE_6     |OUTPUT_CODE_6_DESC
C|FIN|GL|4400| |||||COMPANY|4400|Citco Bank and Trust Company (Bahamas) Limited - Bank|BS01|||||||||
C|FIN|GL|7920||||||COMPANY|7920|Citco (Bahamas) Limited - Governance|BS01|||||||||
C|FIN|GL|1050||||||COMPANY|1050|Citco III Limited|KY01|||||||||
C|FIN|GL|1070||||||COMPANY|1070|The Citco Group Limited|KY01|||||||||
C|FIN|GL|1100||||||COMPANY|1100|The Citco Group (Nyon Branch) Limited|CH01|||||||||
C|FIN|GL|1120||||||COMPANY|1120|Citco Funding LLC|US09|||||||||
C|FIN|GL|1130||||||COMPANY|1130|Citco Group Services Limited|KY01|||||||||
C|FIN|GL|1150||||||COMPANY|1150|The Citco Group (Monaco) S.A.M.|MC01|||||||||
C|FIN|GL|1160||||||COMPANY|1160|7 Albemarle Street Limited|UK01|||||||||
C|FIN|GL|1170||||||COMPANY|1170|Citco (UK) Limited|UK01|||||||||
C|FIN|GL|1190||||||COMPANY|1190|AREDVI GmbH|AT01|||||||||
C|FIN|GL|1200||||||COMPANY|1200|LR60-296 Florida Holdings, Inc.|US06|||||||||
C|FIN|GL|1250||||||COMPANY|1250|CHC Holdings Limited|CY01|||||||||
C|FIN|GL|1260||||||COMPANY|1260|Citco Marketing Services (Hong Kong) Limited|HK01|||||||||
C|FIN|GL|1320||||||COMPANY|1320|Citco International Support Services Limited|KY01|||||||||
C|FIN|GL|1330||||||COMPANY|1330|Citco International Support Services Limited - Philippine Branch|PH02|||||||||
C|FIN|GL|1350||||||COMPANY|1350|Citco International Support Services Limited - Philippine ROHQ|PH01|||||||||
C|FIN|GL|1400||||||COMPANY|1400|TH Holdings Limited|KY01|||||||||
C|FIN|GL|1450||||||COMPANY|1450|Citco (USA) Holdings Inc.|US03|||||||||
C|FIN|GL|1480||||||COMPANY|1480|Citco Technology Management Canada Limited|CA00|||||||||
C|FIN|GL|1481||||||COMPANY|1480|Citco Technology Management Canada Limited - Toronto|CA02|||||||||
C|FIN|GL|1482||||||COMPANY|1480|Citco Technology Management Canada Limited - Halifax|CA01|||||||||
C|FIN|GL|1520||||||COMPANY|1520|Citco Technology Management Ireland Limited|IE00|||||||||
C|FIN|GL|1521||||||COMPANY|1520|Citco Technology Management Ireland Limited - Cork|IE01|||||||||
C|FIN|GL|1522||||||COMPANY|1520|Citco Technology Management Ireland Limited - Dublin|IE02|||||||||
C|FIN|GL|1530||||||COMPANY|1530|Citco Technology Management, Inc.|US00|||||||||
