SIMPLE_OR_COMPLEX|APPLICATION_SUITE|APPLICATION|SOURCE_VALUE|Input Value 2|Input Value 3|Input Value 4|INPUT_CODE_5|INPUT_CODE_6|CATEGORY_CODE|TARGET_VALUE|OUTPUT_CODE_1_DESC|OUTPUT_CODE_2|OUTPUT_CODE_2_DESC|OUTPUT_CODE_3|OUTPUT_CODE_3_DESC|OUTPUT_CODE_4|OUTPUT_CODE_4_DESC|OUTPUT_CODE_5|OUTPUT_CODE_5_DESC|OUTPUT_CODE_6|OUTPUT_CODE_6_DESC|BUSINESS_ENTITY|SUB_ENTITY
C|FIN|AP|XXMX_AP_SUPP_SITE_ASSIGNS_XFM||||||CODE_COMBINATIONS|BILLS_PAYABLE_DISTRIBUTION||||||||||||SUPPLIERS|
C|FIN|AP|XXMX_AP_SUPP_SITE_ASSIGNS_XFM||||||CODE_COMBINATIONS|LIABILITY_DISTRIBUTION||||||||||||SUPPLIERS|
C|FIN|AP|XXMX_AP_SUPP_SITE_ASSIGNS_XFM||||||CODE_COMBINATIONS|PREPAYMENT_DISTRIBUTION||||||||||||SUPPLIERS|
C|FIN|AP|XXMX_AP_INVOICE_LINES_XFM||||||CODE_COMBINATIONS|DIST_CODE_CONCATENATED||||||||||||INVOICES|
C|FIN|AP|XXMX_AP_INVOICES_XFM||||||CODE_COMBINATIONS|ACCTS_PAY_CODE_CONCATENATED||||||||||||INVOICES|
C|FIN|FA|XXMX_FA_MASS_ADDITIONS_XFM||||||COA_SEGMENTS|CLEARING_ACCT_SEGMENT1||CLEARING_ACCT_SEGMENT2||CLEARING_ACCT_SEGMENT4||||||||FIXED_ASSETS|MASS_ADDITIONS
C|FIN|FA|XXMX_FA_MASS_ADDITION_DIST_XFM||||||COA_SEGMENTS|DEPRN_EXPENSE_SEGMENT1||DEPRN_EXPENSE_SEGMENT2||DEPRN_EXPENSE_SEGMENT4||||||||FIXED_ASSETS|MASS_DISTRIBUTION
C|FIN|AR|XXMX_AR_TRX_DISTS_XFM||||||COA_SEGMENTS|SEGMENT1||SEGMENT2||SEGMENT4||||||||TRANSACTIONS|RA_CUST_INV_DIST
C|FIN|GL|XXMX_GL_BALANCES_XFM||||||COA_SEGMENTS|SEGMENT1||SEGMENT2||SEGMENT4||||||||BALANCES|
C|FIN|PO|XXMX_SCM_PO_DISTRIBUTIONS_STD_XFM||||||COA_SEGMENTS|CHARGE_ACCOUNT_SEGMENT1||CHARGE_ACCOUNT_SEGMENT2||CHARGE_ACCOUNT_SEGMENT4||||||||PURCHASE_ORDERS|DISTRIBUTION
C|FIN|AP|"Arbejdernes Landsbank|5328|DK"||||||BANK_BRANCHES|ARBEJDERNES LANDSBANK||ALBADKKKXXX||DK||||||||SUPPLIERS|SUPPLIER_BANK_ACCOUNTS
C|FIN|AP|"Arbejdernes Landsbank|ALBADKKKXXX|DK"||||||BANK_BRANCHES|ARBEJDERNES LANDSBANK||ALBADKKKXXX||DK||||||||SUPPLIERS|SUPPLIER_BANK_ACCOUNTS
C|FIN|AP|"BankNordik|6513|DK"||||||BANK_BRANCHES|BANKNORDIK||BANODKKK||DK||||||||SUPPLIERS|SUPPLIER_BANK_ACCOUNTS
C|FIN|AP|"Bnp Paribas Fortis Danmark|FTSBDKKK|DK"||||||BANK_BRANCHES|BNP PARIBAS FORTIS DANMARK||FTSBDKKK||DK||||||||SUPPLIERS|SUPPLIER_BANK_ACCOUNTS
C|FIN|AP|"DANSKE BANK|0216|DK"||||||BANK_BRANCHES|DANKSE BANK||DABADKKK||DK||||||||SUPPLIERS|SUPPLIER_BANK_ACCOUNTS
C|FIN|AP|"DANSKE BANK|3000|DK"||||||BANK_BRANCHES|DANKSE BANK||DABADKKK||DK||||||||SUPPLIERS|SUPPLIER_BANK_ACCOUNTS
C|FIN|AP|"Danske Bank|4865|DK"||||||BANK_BRANCHES|DANKSE BANK||DABADKKK||DK||||||||SUPPLIERS|SUPPLIER_BANK_ACCOUNTS
C|FIN|AP|"Danske Bank|DABADKKK|DK"||||||BANK_BRANCHES|DANKSE BANK||DABADKKK||DK||||||||SUPPLIERS|SUPPLIER_BANK_ACCOUNTS
C|FIN|AP|"FINANCIAL INTELLIGENCE|Essedkkk|DK"||||||BANK_BRANCHES|SKANDINAVISKA ENSKILDA BANKEN||ESSEDKKK||DK||||||||SUPPLIERS|SUPPLIER_BANK_ACCOUNTS
C|FIN|AP|"HANDELSBANKEN|Handdkkk|DK"||||||BANK_BRANCHES|SVENSKA HANDELSBANKEN AB||HANDDKKK||DK||||||||SUPPLIERS|SUPPLIER_BANK_ACCOUNTS
C|FIN|AP|"Hvidbjerg Bank|HVBADK21|DK"||||||BANK_BRANCHES|HVIDBJERG BANK A/S||HVBADK21||DK||||||||SUPPLIERS|SUPPLIER_BANK_ACCOUNTS
C|FIN|AP|"Nordea Bank AS|NDEADKKK|DK"||||||BANK_BRANCHES|NORDEA BANK DANMARK A/S||NDEADKKK||DK||||||||SUPPLIERS|SUPPLIER_BANK_ACCOUNTS
C|FIN|AP|"NORDEA BANK|2000|DK"||||||BANK_BRANCHES|NORDEA BANK DANMARK A/S||NDEADKKK||DK||||||||SUPPLIERS|SUPPLIER_BANK_ACCOUNTS
C|FIN|AP|"NORDEA BANK|Ndeadkkk|DK"||||||BANK_BRANCHES|NORDEA BANK DANMARK A/S||NDEADKKK||DK||||||||SUPPLIERS|SUPPLIER_BANK_ACCOUNTS
C|FIN|AP|"NORDEA|NDEADKKK|DK"||||||BANK_BRANCHES|NORDEA BANK DANMARK A/S||NDEADKKK||DK||||||||SUPPLIERS|SUPPLIER_BANK_ACCOUNTS
C|FIN|AP|"Nordjyske Bank|RINGDK22|DK"||||||BANK_BRANCHES|NORDJYSKE BANK A/S||RINGDK22||DK||||||||SUPPLIERS|SUPPLIER_BANK_ACCOUNTS
C|FIN|AP|"NYKREDIT BANK A/S|NYKBDKKK|DK"||||||BANK_BRANCHES|NYKREDIT BANK A/S||NYKBDKKK||DK||||||||SUPPLIERS|SUPPLIER_BANK_ACCOUNTS
C|FIN|AP|"NYKREDIT|8054|DK"||||||BANK_BRANCHES|NYKREDIT BANK A/S||NYKBDKKK||DK||||||||SUPPLIERS|SUPPLIER_BANK_ACCOUNTS
C|FIN|AP|"Spar Nord Bank AS|SPNODK22|DK"||||||BANK_BRANCHES|SPAR NORD BANK AS||SPNODK22||DK||||||||SUPPLIERS|SUPPLIER_BANK_ACCOUNTS
C|FIN|AP|"Sparekassen Kronjylland|KRONDK22|DK"||||||BANK_BRANCHES|SPAREKASSEN KRONJYLLAND||KRONDK22||DK||||||||SUPPLIERS|SUPPLIER_BANK_ACCOUNTS
C|FIN|AP|"SPAREKASSEN SJÆLLAND-FYN A/S|9886|DK"||||||BANK_BRANCHES|SPAREKASSEN SJÆLLAND-FYN A/S||SWESDK22||DK||||||||SUPPLIERS|SUPPLIER_BANK_ACCOUNTS
C|FIN|AP|"SPAREKASSEN VENDSYSSEL|9070|DK"||||||BANK_BRANCHES|SPAREKASSEN VENDSYSSEL||VRAADK21||DK||||||||SUPPLIERS|SUPPLIER_BANK_ACCOUNTS
C|FIN|AP|"Sydbank AS|SYBKDK22|DK"||||||BANK_BRANCHES|SYDBANK||SYBKDK22||DK||||||||SUPPLIERS|SUPPLIER_BANK_ACCOUNTS
C|FIN|AP|"SYDBANK|Sybkdk22|DK"||||||BANK_BRANCHES|SYDBANK||SYBKDK22||DK||||||||SUPPLIERS|SUPPLIER_BANK_ACCOUNTS
C|FIN|AP|"Danske|DABAFIHH|FI"||||||BANK_BRANCHES|DANSKE BANK A/S||DABAFIHH||FI||||||||SUPPLIERS|SUPPLIER_BANK_ACCOUNTS
C|FIN|AP|"Helsingin OP Pankki Oyj|500001|FI"||||||BANK_BRANCHES|HELSINGIN OP PANKKI OYJ||HEPYFI21||FI||||||||SUPPLIERS|SUPPLIER_BANK_ACCOUNTS
